trial_id,epoch,train_loss,test_loss,train_accuracy,test_accuracy
trial_001,1,2.130111484591308,2.1362676419152153,0.6102449888641426,0.5844444444444444
trial_001,2,1.921375515377778,1.930292862256368,0.718634001484781,0.6911111111111111
trial_001,3,1.6668711133417413,1.6767703098720974,0.7973273942093542,0.7688888888888888
trial_001,4,1.3939542656220945,1.405897625817193,0.8389012620638456,0.8177777777777778
trial_001,5,1.1428662961557696,1.1554315821329753,0.8589458054936897,0.84
trial_001,6,0.9348713053361345,0.9459726145532397,0.894580549368968,0.8866666666666667
trial_002,1,2.0436779713754576,2.050966608259413,0.7015590200445434,0.7044444444444444
trial_002,2,1.6996962784304828,1.7135650655958388,0.8225686711210096,0.8022222222222222
trial_002,3,1.305394663311591,1.3266163010067409,0.874536005939124,0.8555555555555555
trial_002,4,0.9723741360390372,0.998531625005934,0.8953229398663697,0.8711111111111111
trial_002,5,0.7347006162140399,0.7578429526752896,0.9094283593170007,0.8933333333333333
trial_002,6,0.5781987267639696,0.6032595099343194,0.9168522642910171,0.8955555555555555
trial_003,1,2.1682795276443607,2.170728367699517,0.43429844097995546,0.4088888888888889
trial_003,2,1.7544018350536061,1.7644826730092367,0.6711210096510765,0.6666666666666666
trial_003,3,0.9644742973132229,0.9797340626186795,0.8544914625092799,0.8622222222222222
trial_003,4,0.4814171913427694,0.4870837818251716,0.9094283593170007,0.9088888888888889
trial_003,5,0.31517101820964855,0.3205283953083886,0.9302152932442465,0.9377777777777778
trial_003,6,0.23556838043825043,0.26207292477289834,0.933184855233853,0.9311111111111111
trial_004,1,2.0882463283510497,2.0942735820346408,0.7253155159613957,0.7222222222222222
trial_004,2,1.4951878637407299,1.5250856261783177,0.7260579064587973,0.6977777777777778
trial_004,3,0.842114055608057,0.8796667541397942,0.793615441722346,0.7755555555555556
trial_004,4,0.5330662529116307,0.5784062070316739,0.852264291017075,0.8311111111111111
trial_004,5,0.3973331856302801,0.4529520663287904,0.8982925018559762,0.8688888888888889
trial_004,6,0.3156153265533398,0.35844355689154733,0.8990348923533779,0.8911111111111111
trial_005,1,2.0132594163451447,2.004072225358751,0.6636971046770601,0.6977777777777778
trial_005,2,1.081289689542633,1.0371189371744791,0.8314773570898293,0.8577777777777778
trial_005,3,0.47180418541852687,0.4267751027478112,0.896807720861173,0.9111111111111111
trial_005,4,0.2860305828679112,0.26957487328184976,0.9242761692650334,0.9333333333333333
trial_005,5,0.21540703690308682,0.20841918560883238,0.941351150705271,0.9377777777777778
trial_005,6,0.17967213639393503,0.16752652789155642,0.9517446176688938,0.96
trial_006,1,2.03253120568919,2.0359549151526557,0.6792873051224945,0.6422222222222222
trial_006,2,1.176014681789905,1.1962465217378404,0.8411284335560505,0.8533333333333334
trial_006,3,0.6038690254966153,0.620600802368588,0.8530066815144766,0.8644444444444445
trial_006,4,0.38211196368946,0.3976830050680372,0.8997772828507795,0.9111111111111111
trial_006,5,0.2880881716785558,0.29227092795901827,0.9235337787676318,0.9222222222222223
trial_006,6,0.24656801960073582,0.2592328076892429,0.9302152932442465,0.9311111111111111
