run,epoch,train_loss,test_loss,train_accuracy,test_accuracy
torch_mlp_breast_cancer,1,0.5418731687774121,0.5486508628705165,0.9272300469483568,0.9370629370629371
torch_mlp_breast_cancer,2,0.39063984351538716,0.40334516346871435,0.9483568075117371,0.9440559440559441
torch_mlp_breast_cancer,3,0.24713892080414462,0.26270555595417955,0.9507042253521126,0.9370629370629371
torch_mlp_breast_cancer,4,0.15190223649913717,0.16775445796393015,0.9577464788732394,0.9440559440559441
torch_mlp_breast_cancer,5,0.10492231749312979,0.11859960682117023,0.9671361502347418,0.958041958041958
torch_mlp_breast_cancer,6,0.08000556536963288,0.09082738049588837,0.9812206572769953,0.972027972027972
torch_mlp_breast_cancer,7,0.06704953568222377,0.07758416188555164,0.9859154929577465,0.9790209790209791
torch_mlp_breast_cancer,8,0.06009246300940922,0.07031383818679757,0.9859154929577465,0.972027972027972
torch_mlp_digits,1,2.0477695405792997,2.0445785278744166,0.7260579064587973,0.6933333333333334
torch_mlp_digits,2,1.7148451405095453,1.7132366879781087,0.8366740905716407,0.8155555555555556
torch_mlp_digits,3,1.3345980135351974,1.336610017352634,0.8693392724573126,0.8355555555555556
torch_mlp_digits,4,0.9864375996607361,0.9966189858648512,0.8901262063845583,0.8644444444444445
torch_mlp_digits,5,0.7337970038476306,0.7507039846314324,0.9183370452858204,0.8733333333333333
torch_mlp_digits,6,0.5751407865736338,0.5957200100686815,0.9175946547884187,0.8822222222222222
torch_mlp_digits,7,0.46786167217610763,0.4857525520854526,0.933184855233853,0.9133333333333333
torch_mlp_digits,8,0.3931435164957464,0.41306378073162503,0.9361544172234595,0.9133333333333333
torch_cnn_digits,1,2.020702737388384,2.0233605660332574,0.4951744617668894,0.47555555555555556
torch_cnn_digits,2,1.2471025501610884,1.261074915991889,0.8247958426132146,0.8044444444444444
torch_cnn_digits,3,0.6204711114068162,0.6523809268739489,0.8878990348923533,0.8555555555555555
torch_cnn_digits,4,0.42614864322903784,0.47260145902633666,0.8975501113585747,0.8622222222222222
torch_cnn_digits,5,0.3182755632031468,0.3492474138736725,0.9146250927988122,0.9066666666666666
torch_cnn_digits,6,0.25507946857807806,0.2873763959109783,0.9324424647364514,0.9155555555555556
torch_cnn_digits,7,0.22363438609912825,0.2531666759153207,0.9361544172234595,0.9333333333333333
torch_cnn_digits,8,0.17321188720710626,0.2118580252263281,0.9487750556792873,0.94
